,H,N,SimpleE,SimpleC,delta
383,3.0,1.4149929328107227,0.0,37,6
384,0.0,0.5538667897566993,2.259457664925379,27,4
385,1.0,4.760902382189667,0.4232755792897497,26,4
386,0.0,2.3265888175143976,3.1427860191677435,22,2
387,6.465681810956441,2.005838999127791,1.5845669379392535,13,2
388,0.0,3.1806512371077735,1.7268030054858423,12,2
389,1.797594481497923,1.0133774253202024,0.6838324595030595,40,6
390,1.0,1.0,1.9005736635662236,30,4
391,1.0,1.0960743010409661,0.0,27,4
392,0.0,0.47392841515228845,0.7173259087017612,21,2
393,0.0,1.0,3.975312511332947,15,2
394,0.03046347589337728,1.3026795053744529,2.5853228812080116,25,4
395,0.6244533795541081,0.23908899593542898,0.0,26,4
396,1.8838878132105483,3.2783200463085853,0.5925331899555819,22,2
397,0.0,2.5827683119643057,0.0,24,4
398,0.0,5.0,1.3405894649823322,15,2
399,0.0,2.2516628981717624,1.0511749248897326,20,2
400,2.485996592307261,5.0,0.0,28,4
401,0.0,1.0,2.4984091695128616,37,6
402,1.724367638225166,5.0,4.587566759419499,38,6
403,1.0,1.0,4.752955051758257,13,2
404,2.135531097747722,2.593560485313146,0.0,27,4
405,2.6050942291100743,2.5726967942390515,2.925274848879395,12,2
406,2.3007801807811985,1.8531791597370066,0.24989980844352924,20,2
407,1.0,1.293940241921966,4.975717151714918,12,2
408,2.8074810515837596,3.701435618666327,1.2152111528929803,27,4
409,1.0,1.1986305271230258,0.5556032630866488,23,4
410,1.0,0.4538096871666353,0.43616669620492066,14,2
411,3.0,0.46607630649165266,2.750590149611594,46,6
412,0.0,0.0,2.3536772720439814,30,6
413,0.0,0.3571056603580587,2.06114050802419,13,2
414,0.0,2.084607694832009,1.7536618277960745,37,6
415,1.5389496316184559,0.5995112465007661,0.07427405881171245,25,4
416,0.0,1.9050475210653364,0.3504718651693088,10,2
417,2.0,2.9711688324029346,1.408499425452769,16,2
418,2.959078373761126,1.0734983960479179,0.9756702507400261,36,6
419,2.0,0.7279315983625239,0.9944591403013257,17,2
420,1.0,2.5159474526457073,4.33645742965527,29,4
421,2.2717295965679196,2.605549318471997,2.5981276283210035,34,4
422,0.0,1.0,2.0375631819375895,44,6
423,2.0,2.7295198513167547,0.34478999564233953,14,2
424,1.1086854195462346,1.8732909805057067,2.3717164755314752,19,2
425,0.0,2.4227480077708314,0.9079925541187492,38,6
426,0.0,3.6815208608795205,1.4096407303077605,16,2
427,1.0,2.2980427629378974,0.0,17,2
428,1.0,2.8282879162911225,2.5939105828566804,24,4
429,1.0,2.420344816666521,1.6900437249740274,12,2
430,2.0,5.0,1.708771904477628,19,2
431,0.0,2.860584500973536,0.0,32,4
432,0.0,5.0,0.0,36,6
433,0.0,2.3440639661980054,0.0,14,2
434,1.0,2.558646910462139,0.16969430101500776,40,6
435,1.0,0.04922675812980515,0.0,36,6
436,2.0,2.832127656690866,3.9981458561324628,15,2
437,4.0,0.0,2.57326172010233,39,6
438,1.0,3.0360637186399204,0.9567494346109806,34,6
439,2.0,3.5229948116088092,3.268325241072979,41,6
440,0.0,2.0118547807344367,3.081444930180959,29,4
441,1.0,2.0,0.05049970329980624,33,6
442,1.0,1.0730523755130168,2.736341583987161,30,4
443,0.0,1.421706475227687,0.5283863176759125,38,6
444,0.641553969726206,0.8099234741561556,0.9978715046757529,17,2
445,1.3894800915444603,2.0,4.352465857271222,30,4
446,2.0,1.2243253969167802,0.30089361813243976,15,2
447,0.3061352168332885,5.0,0.8928403162449643,34,6
448,1.0,2.353061392362882,4.508143675224671,12,2
449,1.7843004024435718,1.4050075493879037,0.3642555183654547,25,4
450,0.0,2.895518138989937,3.2454442829907326,34,6
451,1.9892349640991966,1.0951210742347826,0.0,22,4
452,6.807053226826902,4.765893792564024,2.0730817329210094,32,4
453,1.0,1.3686459335080023,3.9303317944887084,31,4
454,0.0,2.9149313026334323,0.3564608366618143,17,2
455,0.18037957473574995,3.1477032903650306,0.11252666847820836,37,6
456,0.319763261980639,2.997611534559164,0.0,34,6
457,1.0,3.824495230099904,2.2854663306305034,26,4
458,0.0,1.0642084814708745,3.270441535429069,28,4
459,1.0,0.0,1.4452586555610276,12,2
460,0.0,1.0,0.23597048596616255,31,4
461,3.0,1.1203147989025766,1.6870521812981731,30,6
462,1.0,2.358347531958456,0.2839410983961889,12,2
463,1.0,5.0,0.0,39,6
464,1.0,2.6142129321640986,1.2012663716018541,26,4
465,1.0,4.26580119504447,3.2682542558086842,21,2
466,1.0,2.569074730371839,0.10323025255187529,40,6
467,0.0,4.465960468561694,0.17551918222648855,24,4
468,2.091199818627998,3.120434024208672,3.3488296378719995,27,4
469,1.0,1.8445735825563778,2.9510987615211626,14,2
470,0.0,1.0016722392380792,4.10284543703097,27,4
471,0.0,0.0,0.956692267398898,35,4
472,0.0,3.1355649880977907,0.0,25,4
473,0.0,0.22545452337399752,0.5023877266838482,29,4
474,0.0,4.643553958027278,0.6910767217780215,23,4
475,0.0,2.217646244870908,0.0,25,4
476,1.334430799633072,1.3381573631396364,0.0,18,2
477,0.0,2.766913094179006,1.3274641133966782,18,2
478,1.0,2.0,4.665041077765914,39,6
479,1.0,1.8071456684815972,0.7043219258822252,27,4
480,1.0,2.5011982964018946,2.256068552337771,12,2
481,1.9756750351983772,1.168235452434879,0.9639292223692955,31,4
482,0.0,2.0,0.8194782520823215,40,6
483,1.8974380516791425,1.1185971645075998,0.0,24,4
484,1.0,0.868511968851319,0.624254880847686,24,4
485,1.1735894177062218,1.2623052108229018,2.5138351524604228,41,6
486,0.0,0.0,1.6127925282383262,35,6
487,2.5045117528286482,0.12689559194433464,0.0,40,6
488,1.0,1.0212066740938246,1.0459823744994328,26,4
489,3.5945171493014625,0.0,1.9832488385632683,36,6
490,0.0,4.275789336797601,1.2161048988893532,17,2
491,2.7287094345915133,3.7713509961343448,1.37136783848632,38,6
492,1.0,2.760756618413719,0.0,18,2
493,2.933086194283928,2.7456807010240327,1.0044731130458213,37,6
494,1.0,0.7166401293334719,4.380108676942259,26,4
495,2.0,1.0,1.1977573204776724,48,6
496,1.0,1.165110219980308,0.8410370248347809,14,2
497,0.0,0.0,0.07241046832806047,15,2
498,0.299414712524289,1.7072918601930436,1.3760227774004712,20,2
499,0.0,5.0,0.0,21,4
500,6.120704058351791,1.0123129271973526,2.9596255634145185,45,6
501,0.0,0.0,3.379033126133928,33,6
502,0.0,3.7675116109591293,5.0,19,2
503,0.0,2.7274130939720767,0.16576248854917427,15,2
504,2.306337582508135,3.0897783595999257,1.293269442005221,17,2
505,5.0,1.7945010559906693,0.0,12,2
506,1.0,1.0952112815789965,0.47210414432262576,31,6
507,0.0,1.4868035781804672,0.6043155512769397,34,6
508,3.37102300868926,2.1003563425417067,0.6346723945812046,17,2
509,3.0,2.8084445008640806,0.3496559749339688,40,6
510,0.0,3.8291381724251394,4.025382436603901,15,2
511,0.0,2.800391655887064,1.8870917971003327,20,2
512,0.0,0.0,0.7276217743431652,39,6
513,1.0,2.4086512246697227,0.5446974172301887,37,6
514,0.0,1.3899773838698373,5.0,16,2
515,1.4112057915349117,0.2885842017797664,1.3208917131411855,22,4
516,1.0,1.8944942436886043,0.886063969573545,14,2
517,0.0,2.0,0.0,37,6
518,0.0,1.357584389447993,0.839633446145769,36,6
519,1.5550420951772903,2.266233818559698,2.689837275701896,13,2
520,0.5984415135156249,1.88782590830164,0.9859696634946551,19,2
521,2.0,1.0,2.3023447570527282,16,2
522,1.0,0.4387405032462013,0.4618672561533352,30,4
